| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T 151682 | Fr  27392000 | Ep 199464 | Up  21400 | RMe    3.60 | RSd    1.37 | RMa    7.00 | RMi    1.00 | Pl   -0.166 | Vl    0.079 | El 0.0291 | Gr    0.314 | Fps   180 |
| T 152115 | Fr  27520000 | Ep 200000 | Up  21500 | RMe    3.56 | RSd    1.11 | RMa    7.00 | RMi    1.00 | Pl   -0.349 | Vl    0.055 | El 0.0293 | Gr    0.362 | Fps   180 |
| T 152531 | Fr  27648000 | Ep 200528 | Up  21600 | RMe    3.27 | RSd    1.30 | RMa    7.00 | RMi    1.00 | Pl    0.811 | Vl    0.065 | El 0.0290 | Gr    0.910 | Fps   181 |
| T 152967 | Fr  27776000 | Ep 201064 | Up  21700 | RMe    3.80 | RSd    1.40 | RMa    8.00 | RMi    1.00 | Pl   -0.643 | Vl    0.063 | El 0.0293 | Gr    0.751 | Fps   181 |
| T 153379 | Fr  27904000 | Ep 201600 | Up  21800 | RMe    3.68 | RSd    1.46 | RMa    7.00 | RMi    1.00 | Pl   -0.211 | Vl    0.123 | El 0.0290 | Gr    0.467 | Fps   181 |
| T 153800 | Fr  28032000 | Ep 202128 | Up  21900 | RMe    3.75 | RSd    1.41 | RMa    7.00 | RMi    1.00 | Pl   -0.366 | Vl    0.046 | El 0.0288 | Gr    0.527 | Fps   182 |
| T 154212 | Fr  28160000 | Ep 202664 | Up  22000 | RMe    3.44 | RSd    1.53 | RMa    9.00 | RMi    1.00 | Pl   -0.628 | Vl    0.073 | El 0.0295 | Gr    0.707 | Fps   182 |
| T 154620 | Fr  28288000 | Ep 203200 | Up  22100 | RMe    3.44 | RSd    1.42 | RMa    8.00 | RMi    0.00 | Pl    0.266 | Vl    0.079 | El 0.0295 | Gr    0.365 | Fps   182 |
| T 155023 | Fr  28416000 | Ep 203728 | Up  22200 | RMe    3.35 | RSd    1.35 | RMa    7.00 | RMi    1.00 | Pl   -0.086 | Vl    0.040 | El 0.0292 | Gr    0.290 | Fps   183 |
| T 155430 | Fr  28544000 | Ep 204264 | Up  22300 | RMe    3.85 | RSd    1.33 | RMa    7.00 | RMi    1.00 | Pl    0.271 | Vl    0.077 | El 0.0292 | Gr    0.465 | Fps   183 |
| T 155850 | Fr  28672000 | Ep 204800 | Up  22400 | RMe    3.63 | RSd    1.35 | RMa    7.00 | RMi    0.00 | Pl   -0.300 | Vl    0.053 | El 0.0290 | Gr    0.450 | Fps   183 |
| T 156267 | Fr  28800000 | Ep 205328 | Up  22500 | RMe    4.02 | RSd    1.68 | RMa    7.00 | RMi    1.00 | Pl    0.145 | Vl    0.063 | El 0.0291 | Gr    0.483 | Fps   184 |
| T 156669 | Fr  28928000 | Ep 205864 | Up  22600 | RMe    3.61 | RSd    1.38 | RMa    7.00 | RMi    0.00 | Pl   -0.624 | Vl    0.056 | El 0.0294 | Gr    0.758 | Fps   184 |
| T 157071 | Fr  29056000 | Ep 206400 | Up  22700 | RMe    3.71 | RSd    1.50 | RMa    7.00 | RMi    0.00 | Pl    0.285 | Vl    0.053 | El 0.0295 | Gr    0.305 | Fps   184 |
| T 157498 | Fr  29184000 | Ep 206928 | Up  22800 | RMe    3.59 | RSd    1.35 | RMa    6.00 | RMi    1.00 | Pl    0.020 | Vl    0.042 | El 0.0291 | Gr    0.245 | Fps   185 |
| T 157919 | Fr  29312000 | Ep 207464 | Up  22900 | RMe    3.67 | RSd    1.58 | RMa    8.00 | RMi    0.00 | Pl   -0.918 | Vl    0.111 | El 0.0292 | Gr    1.341 | Fps   185 |
| T 158334 | Fr  29440000 | Ep 208000 | Up  23000 | RMe    3.42 | RSd    1.25 | RMa    6.00 | RMi    1.00 | Pl    1.103 | Vl    0.126 | El 0.0292 | Gr    0.850 | Fps   185 |
| T 158737 | Fr  29568000 | Ep 208528 | Up  23100 | RMe    3.64 | RSd    1.41 | RMa    9.00 | RMi    1.00 | Pl    0.752 | Vl    0.098 | El 0.0290 | Gr    1.080 | Fps   186 |
| T 159132 | Fr  29696000 | Ep 209064 | Up  23200 | RMe    3.39 | RSd    1.36 | RMa    7.00 | RMi    1.00 | Pl   -0.571 | Vl    0.077 | El 0.0294 | Gr    0.649 | Fps   186 |
| T 159557 | Fr  29824000 | Ep 209600 | Up  23300 | RMe    3.77 | RSd    1.28 | RMa    7.00 | RMi    1.00 | Pl   -0.183 | Vl    0.073 | El 0.0293 | Gr    0.330 | Fps   186 |
